Source,Target,Weight,Origin
Aníbal Veloso Rabelo (1868-1943),Augusto de Tavares de Lyra (1872-1958),2,IHGB
Aníbal Veloso Rabelo (1868-1943),Manoel Cícero Peregrino da Silva (1866-1956),3,IHGB
Aníbal Veloso Rabelo (1868-1943),Max Fleiuss (1868-1943),4,IHGB
Aníbal Veloso Rabelo (1868-1943),Pedro Calmon (1902-1985),1,IHGB
Aníbal Veloso Rabelo (1868-1943),Rodrigo Octavio Langgard Menezes (1866-1944),3,IHGB
Aníbal Veloso Rabelo (1868-1943),Hélio Lobo (1883-1960),3,IHGB
Aníbal Veloso Rabelo (1868-1943),Afonso Celso Junior (1860-1938),8,IHGB
Aníbal Veloso Rabelo (1868-1943),Lucas Ayarragaray (1861-1944),6,IHGB
Augusto de Tavares de Lyra (1872-1958),Félix Pachecho (1879-1935),7,IHGB
Augusto de Tavares de Lyra (1872-1958),Manoel Cícero Peregrino da Silva (1866-1956),130,Both
Augusto de Tavares de Lyra (1872-1958),Max Fleiuss (1868-1943),233,Both
Augusto de Tavares de Lyra (1872-1958),Pedro Calmon (1902-1985),161,Both
Augusto de Tavares de Lyra (1872-1958),Alfonso Escragnolle Taunay (1876-1958),28,IHGB
Augusto de Tavares de Lyra (1872-1958),Rodrigo Octavio Langgard Menezes (1866-1944),66,Both
Augusto de Tavares de Lyra (1872-1958),Hélio Vianna (1908-1962),31,IHGB
Augusto de Tavares de Lyra (1872-1958),Hélio Lobo (1883-1960),46,Both
Augusto de Tavares de Lyra (1872-1958),Afonso Celso Junior (1860-1938),184,Both
Augusto de Tavares de Lyra (1872-1958),Enrique de Gandia (1906-2000),1,IHGB
Augusto de Tavares de Lyra (1872-1958),Lucas Ayarragaray (1861-1944),6,IHGB
Augusto de Tavares de Lyra (1872-1958),Ramón J. Cárcano (1860-1946),16,Both
Augusto de Tavares de Lyra (1872-1958),Ernesto Quesada (1858-1934),4,IHGB
Augusto de Tavares de Lyra (1872-1958),Ricardo Levene (1885-1959),6,Both
Manoel Cícero Peregrino da Silva (1866-1956),Félix Pachecho (1879-1935),10,IHGB
Manoel Cícero Peregrino da Silva (1866-1956),Max Fleiuss (1868-1943),228,Both
Manoel Cícero Peregrino da Silva (1866-1956),Pedro Calmon (1902-1985),57,Both
Manoel Cícero Peregrino da Silva (1866-1956),Alfonso Escragnolle Taunay (1876-1958),12,IHGB
Manoel Cícero Peregrino da Silva (1866-1956),Rodrigo Octavio Langgard Menezes (1866-1944),78,Both
Manoel Cícero Peregrino da Silva (1866-1956),Hélio Vianna (1908-1962),2,IHGB
Manoel Cícero Peregrino da Silva (1866-1956),Hélio Lobo (1883-1960),32,Both
Manoel Cícero Peregrino da Silva (1866-1956),Afonso Celso Junior (1860-1938),244,Both
Manoel Cícero Peregrino da Silva (1866-1956),Rodolfo Rivarola (1857-1946),3,IHGB
Manoel Cícero Peregrino da Silva (1866-1956),Enrique de Gandia (1906-2000),2,Both
Manoel Cícero Peregrino da Silva (1866-1956),Lucas Ayarragaray (1861-1944),3,IHGB
Manoel Cícero Peregrino da Silva (1866-1956),Ramón J. Cárcano (1860-1946),10,Both
Manoel Cícero Peregrino da Silva (1866-1956),Ernesto Quesada (1858-1934),3,IHGB
Manoel Cícero Peregrino da Silva (1866-1956),Ricardo Levene (1885-1959),2,Both
Manoel Cícero Peregrino da Silva (1866-1956),Romulo Zabala (1884-1949),1,Junta-Academia
Max Fleiuss (1868-1943),Félix Pachecho (1879-1935),30,IHGB
Max Fleiuss (1868-1943),Pedro Calmon (1902-1985),250,Both
Max Fleiuss (1868-1943),Alfonso Escragnolle Taunay (1876-1958),40,IHGB
Max Fleiuss (1868-1943),Rodrigo Octavio Langgard Menezes (1866-1944),145,Both
Max Fleiuss (1868-1943),Hélio Vianna (1908-1962),25,IHGB
Max Fleiuss (1868-1943),Hélio Lobo (1883-1960),73,Both
Max Fleiuss (1868-1943),Afonso Celso Junior (1860-1938),544,Both
Max Fleiuss (1868-1943),Luis Maria Torres (1878-1937),1,IHGB
Max Fleiuss (1868-1943),Rodolfo Rivarola (1857-1946),11,Both
Max Fleiuss (1868-1943),Enrique de Gandia (1906-2000),17,Both
Max Fleiuss (1868-1943),Lucas Ayarragaray (1861-1944),13,Both
Max Fleiuss (1868-1943),Ramón J. Cárcano (1860-1946),25,Both
Max Fleiuss (1868-1943),Ernesto Quesada (1858-1934),5,Both
Max Fleiuss (1868-1943),Ricardo Levene (1885-1959),45,Both
Max Fleiuss (1868-1943),Diego Luis Molinari (1889-1966),6,Junta-Academia
Max Fleiuss (1868-1943),Romulo Zabala (1884-1949),2,Junta-Academia
Max Fleiuss (1868-1943),Roberto Levillier (1886-1969),11,Junta-Academia
Max Fleiuss (1868-1943),Romulo de Carbia (1885-1944),1,Junta-Academia
Pedro Calmon (1902-1985),Félix Pachecho (1879-1935),8,IHGB
Pedro Calmon (1902-1985),Alfonso Escragnolle Taunay (1876-1958),32,Both
Pedro Calmon (1902-1985),Rodrigo Octavio Langgard Menezes (1866-1944),52,Both
Pedro Calmon (1902-1985),Hélio Vianna (1908-1962),156,IHGB
Pedro Calmon (1902-1985),Hélio Lobo (1883-1960),38,Both
Pedro Calmon (1902-1985),Afonso Celso Junior (1860-1938),73,Both
Pedro Calmon (1902-1985),Rodolfo Rivarola (1857-1946),7,Both
Pedro Calmon (1902-1985),Enrique de Gandia (1906-2000),7,Both
Pedro Calmon (1902-1985),Lucas Ayarragaray (1861-1944),2,Both
Pedro Calmon (1902-1985),Ramón J. Cárcano (1860-1946),15,Both
Pedro Calmon (1902-1985),Ricardo Levene (1885-1959),35,Both
Pedro Calmon (1902-1985),Luis Maria Torres (1878-1937),1,Junta-Academia
Pedro Calmon (1902-1985),Diego Luis Molinari (1889-1966),5,Junta-Academia
Pedro Calmon (1902-1985),Romulo Zabala (1884-1949),7,Junta-Academia
Pedro Calmon (1902-1985),Roberto Levillier (1886-1969),12,Junta-Academia
Pedro Calmon (1902-1985),Ernesto Quesada (1858-1934),1,Junta-Academia
Pedro Calmon (1902-1985),Emíllo Ravignani (1886-1954),5,Junta-Academia
Rodrigo Octavio Langgard Menezes (1866-1944),Félix Pachecho (1879-1935),9,IHGB
Rodrigo Octavio Langgard Menezes (1866-1944),Alfonso Escragnolle Taunay (1876-1958),2,IHGB
Rodrigo Octavio Langgard Menezes (1866-1944),Hélio Vianna (1908-1962),2,IHGB
Rodrigo Octavio Langgard Menezes (1866-1944),Hélio Lobo (1883-1960),21,Both
Rodrigo Octavio Langgard Menezes (1866-1944),Afonso Celso Junior (1860-1938),134,Both
Rodrigo Octavio Langgard Menezes (1866-1944),Enrique de Gandia (1906-2000),2,Both
Rodrigo Octavio Langgard Menezes (1866-1944),Lucas Ayarragaray (1861-1944),2,IHGB
Rodrigo Octavio Langgard Menezes (1866-1944),Ramón J. Cárcano (1860-1946),17,Both
Rodrigo Octavio Langgard Menezes (1866-1944),Ernesto Quesada (1858-1934),2,IHGB
Rodrigo Octavio Langgard Menezes (1866-1944),Ricardo Levene (1885-1959),11,Both
Rodrigo Octavio Langgard Menezes (1866-1944),Rodolfo Rivarola (1857-1946),6,Junta-Academia
Rodrigo Octavio Langgard Menezes (1866-1944),Romulo Zabala (1884-1949),1,Junta-Academia
Rodrigo Octavio Langgard Menezes (1866-1944),Roberto Levillier (1886-1969),1,Junta-Academia
Hélio Lobo (1883-1960),Félix Pachecho (1879-1935),5,IHGB
Hélio Lobo (1883-1960),Alfonso Escragnolle Taunay (1876-1958),5,IHGB
Hélio Lobo (1883-1960),Hélio Vianna (1908-1962),12,IHGB
Hélio Lobo (1883-1960),Afonso Celso Junior (1860-1938),58,Both
Hélio Lobo (1883-1960),Ramón J. Cárcano (1860-1946),7,Both
Hélio Lobo (1883-1960),Ricardo Levene (1885-1959),1,IHGB
Afonso Celso Junior (1860-1938),Félix Pachecho (1879-1935),33,IHGB
Afonso Celso Junior (1860-1938),Alfonso Escragnolle Taunay (1876-1958),19,IHGB
Afonso Celso Junior (1860-1938),Luis Maria Torres (1878-1937),1,IHGB
Afonso Celso Junior (1860-1938),Rodolfo Rivarola (1857-1946),6,IHGB
Afonso Celso Junior (1860-1938),Enrique de Gandia (1906-2000),3,IHGB
Afonso Celso Junior (1860-1938),Lucas Ayarragaray (1861-1944),10,IHGB
Afonso Celso Junior (1860-1938),Alfonso Reyes (1889-1959),1,IHGB
Afonso Celso Junior (1860-1938),Ramón J. Cárcano (1860-1946),37,Both
Afonso Celso Junior (1860-1938),Ernesto Quesada (1858-1934),9,Both
Afonso Celso Junior (1860-1938),Emíllo Ravignani (1886-1954),2,IHGB
Afonso Celso Junior (1860-1938),Ricardo Levene (1885-1959),13,Both
Afonso Celso Junior (1860-1938),Romulo de Carbia (1885-1944),1,IHGB
Afonso Celso Junior (1860-1938),Romulo Zabala (1884-1949),2,Junta-Academia
Afonso Celso Junior (1860-1938),Roberto Levillier (1886-1969),1,Junta-Academia
Lucas Ayarragaray (1861-1944),Enrique de Gandia (1906-2000),6,Both
Lucas Ayarragaray (1861-1944),Ramón J. Cárcano (1860-1946),47,Both
Lucas Ayarragaray (1861-1944),Ricardo Levene (1885-1959),42,Both
Lucas Ayarragaray (1861-1944),Luis Maria Torres (1878-1937),13,Junta-Academia
Lucas Ayarragaray (1861-1944),Rodolfo Rivarola (1857-1946),31,Junta-Academia
Lucas Ayarragaray (1861-1944),Romulo Zabala (1884-1949),32,Junta-Academia
Lucas Ayarragaray (1861-1944),Ernesto Quesada (1858-1934),10,Junta-Academia
Lucas Ayarragaray (1861-1944),Emíllo Ravignani (1886-1954),3,Junta-Academia
Félix Pachecho (1879-1935),Alfonso Escragnolle Taunay (1876-1958),5,IHGB
Félix Pachecho (1879-1935),Enrique de Gandia (1906-2000),1,IHGB
Félix Pachecho (1879-1935),Ramón J. Cárcano (1860-1946),3,IHGB
Félix Pachecho (1879-1935),Ernesto Quesada (1858-1934),1,IHGB
Félix Pachecho (1879-1935),Ricardo Levene (1885-1959),1,IHGB
Alfonso Escragnolle Taunay (1876-1958),Hélio Vianna (1908-1962),7,IHGB
Alfonso Escragnolle Taunay (1876-1958),Rodolfo Rivarola (1857-1946),1,IHGB
Alfonso Escragnolle Taunay (1876-1958),Ramón J. Cárcano (1860-1946),5,IHGB
Alfonso Escragnolle Taunay (1876-1958),Romulo Zabala (1884-1949),1,Junta-Academia
Alfonso Escragnolle Taunay (1876-1958),Ricardo Levene (1885-1959),2,Junta-Academia
Hélio Vianna (1908-1962),Ricardo Levene (1885-1959),1,IHGB
Enrique de Gandia (1906-2000),Ramón J. Cárcano (1860-1946),7,Both
Enrique de Gandia (1906-2000),Ernesto Quesada (1858-1934),2,Both
Enrique de Gandia (1906-2000),Ricardo Levene (1885-1959),36,Both
Enrique de Gandia (1906-2000),Rodolfo Rivarola (1857-1946),2,Junta-Academia
Enrique de Gandia (1906-2000),Romulo Zabala (1884-1949),25,Junta-Academia
Enrique de Gandia (1906-2000),Roberto Levillier (1886-1969),3,Junta-Academia
Enrique de Gandia (1906-2000),Emíllo Ravignani (1886-1954),3,Junta-Academia
Enrique de Gandia (1906-2000),Romulo de Carbia (1885-1944),3,Junta-Academia
Ramón J. Cárcano (1860-1946),Luis Maria Torres (1878-1937),50,Both
Ramón J. Cárcano (1860-1946),Rodolfo Rivarola (1857-1946),47,Both
Ramón J. Cárcano (1860-1946),Ernesto Quesada (1858-1934),32,Both
Ramón J. Cárcano (1860-1946),Ricardo Levene (1885-1959),171,Both
Ramón J. Cárcano (1860-1946),Romulo Zabala (1884-1949),62,Junta-Academia
Ramón J. Cárcano (1860-1946),Roberto Levillier (1886-1969),3,Junta-Academia
Ramón J. Cárcano (1860-1946),Emíllo Ravignani (1886-1954),20,Junta-Academia
Ramón J. Cárcano (1860-1946),Romulo de Carbia (1885-1944),1,Junta-Academia
Ernesto Quesada (1858-1934),Luis Maria Torres (1878-1937),35,Junta-Academia
Ernesto Quesada (1858-1934),Rodolfo Rivarola (1857-1946),10,Junta-Academia
Ernesto Quesada (1858-1934),Diego Luis Molinari (1889-1966),1,Junta-Academia
Ernesto Quesada (1858-1934),Alfonso Reyes (1889-1959),4,Junta-Academia
Ernesto Quesada (1858-1934),Romulo Zabala (1884-1949),11,Junta-Academia
Ernesto Quesada (1858-1934),Roberto Levillier (1886-1969),1,Junta-Academia
Ernesto Quesada (1858-1934),Emíllo Ravignani (1886-1954),1,Junta-Academia
Ernesto Quesada (1858-1934),Ricardo Levene (1885-1959),34,Junta-Academia
Ricardo Levene (1885-1959),Rodolfo Rivarola (1857-1946),42,Both
Ricardo Levene (1885-1959),Roberto Levillier (1886-1969),26,Both
Ricardo Levene (1885-1959),Emíllo Ravignani (1886-1954),89,Both
Ricardo Levene (1885-1959),Romulo de Carbia (1885-1944),7,Both
Ricardo Levene (1885-1959),Luis Maria Torres (1878-1937),49,Junta-Academia
Ricardo Levene (1885-1959),Diego Luis Molinari (1889-1966),28,Junta-Academia
Ricardo Levene (1885-1959),Alfonso Reyes (1889-1959),4,Junta-Academia
Ricardo Levene (1885-1959),Romulo Zabala (1884-1949),144,Junta-Academia
Rodolfo Rivarola (1857-1946),Luis Maria Torres (1878-1937),21,Junta-Academia
Rodolfo Rivarola (1857-1946),Diego Luis Molinari (1889-1966),3,Junta-Academia
Rodolfo Rivarola (1857-1946),Romulo Zabala (1884-1949),33,Junta-Academia
Rodolfo Rivarola (1857-1946),Roberto Levillier (1886-1969),1,Junta-Academia
Rodolfo Rivarola (1857-1946),Emíllo Ravignani (1886-1954),10,Junta-Academia
Luis Maria Torres (1878-1937),Diego Luis Molinari (1889-1966),1,Junta-Academia
Luis Maria Torres (1878-1937),Romulo Zabala (1884-1949),18,Junta-Academia
Luis Maria Torres (1878-1937),Emíllo Ravignani (1886-1954),3,Junta-Academia
Alfonso Reyes (1889-1959),Romulo Zabala (1884-1949),1,Junta-Academia
Emíllo Ravignani (1886-1954),Roberto Levillier (1886-1969),8,Both
Emíllo Ravignani (1886-1954),Diego Luis Molinari (1889-1966),4,Junta-Academia
Emíllo Ravignani (1886-1954),Romulo Zabala (1884-1949),27,Junta-Academia
Emíllo Ravignani (1886-1954),Romulo de Carbia (1885-1944),4,Junta-Academia
Romulo de Carbia (1885-1944),Diego Luis Molinari (1889-1966),1,Junta-Academia
Romulo de Carbia (1885-1944),Roberto Levillier (1886-1969),1,Junta-Academia
Roberto Levillier (1886-1969),Diego Luis Molinari (1889-1966),5,Junta-Academia
Roberto Levillier (1886-1969),Romulo Zabala (1884-1949),5,Junta-Academia
Romulo Zabala (1884-1949),Diego Luis Molinari (1889-1966),1,Junta-Academia
